Hospitalizations - Total,Cases - Total,Deaths - Total,Date
7.0,21.0,0.0,03/12/2020
8.0,117.0,0.0,10/05/2023
19.0,265.0,0.0,02/03/2023
39.0,531.0,4.0,08/10/2021
32.0,318.0,8.0,02/19/2021
30.0,442.0,2.0,10/03/2022
160.0,464.0,24.0,04/03/2020
3.0,0.0,0.0,03/03/2020
20.0,365.0,0.0,02/10/2023
102.0,514.0,28.0,05/16/2020
25.0,341.0,3.0,09/03/2020
32.0,350.0,3.0,12/14/2023
36.0,580.0,11.0,02/04/2022
16.0,95.0,7.0,06/03/2021
43.0,375.0,1.0,12/04/2022
104.0,1400.0,16.0,11/14/2020
12.0,95.0,0.0,10/14/2023
32.0,221.0,0.0,11/09/2023
22.0,485.0,5.0,08/19/2020
44.0,642.0,0.0,08/12/2022
33.0,284.0,7.0,08/22/2021
140.0,939.0,49.0,05/07/2020
24.0,200.0,0.0,09/18/2023
91.0,2173.0,12.0,12/13/2021
30.0,319.0,15.0,06/04/2020
29.0,430.0,0.0,09/20/2022
14.0,211.0,0.0,08/21/2023
66.0,659.0,20.0,01/03/2021
24.0,406.0,7.0,09/22/2021
97.0,326.0,41.0,05/17/2020
194.0,556.0,25.0,04/07/2020
19.0,451.0,0.0,02/08/2023
19.0,329.0,2.0,09/10/2020
23.0,307.0,1.0,03/16/2023
152.0,694.0,32.0,04/13/2020
30.0,547.0,1.0,03/22/2021
61.0,493.0,3.0,11/28/2021
6.0,43.0,0.0,06/08/2023
10.0,35.0,2.0,06/18/2021
12.0,163.0,2.0,03/08/2022
46.0,911.0,1.0,08/08/2022
26.0,489.0,3.0,08/17/2020
33.0,487.0,6.0,09/20/2021
26.0,279.0,4.0,09/06/2021
98.0,306.0,38.0,05/10/2020
2.0,60.0,0.0,06/20/2023
128.0,434.0,51.0,04/26/2020
29.0,219.0,13.0,06/26/2020
25.0,256.0,6.0,07/02/2020
11.0,200.0,0.0,04/25/2023
129.0,1017.0,38.0,05/11/2020
43.0,691.0,2.0,08/17/2022
171.0,873.0,36.0,04/21/2020
19.0,168.0,4.0,02/13/2022
66.0,715.0,14.0,01/18/2021
127.0,2374.0,19.0,11/23/2020
19.0,352.0,1.0,03/08/2023
6.0,56.0,0.0,06/02/2023
7.0,85.0,0.0,05/31/2023
151.0,574.0,25.0,04/09/2020
160.0,489.0,16.0,03/31/2020
123.0,940.0,46.0,05/12/2020
16.0,188.0,2.0,08/23/2023
10.0,108.0,1.0,05/17/2023
27.0,318.0,2.0,08/07/2021
10.0,187.0,3.0,07/20/2021
38.0,540.0,3.0,08/27/2021
59.0,1215.0,6.0,12/01/2021
7.0,67.0,4.0,03/25/2024
36.0,475.0,6.0,09/27/2021
4.0,11.0,0.0,03/10/2020
25.0,391.0,6.0,09/23/2020
35.0,626.0,3.0,08/13/2021
9.0,155.0,1.0,07/16/2021
53.0,685.0,0.0,11/30/2022
