Household/family type,SERIALNO,INTP_adj
1,18040,0.0
1,18040,0.0
1,18040,0.0
1,18040,0.0
1,18040,0.0
Other,18077,0.0
Other,18077,0.0
1,18100,0.0
1,18100,0.0
1,18100,0.0
1,18100,0.0
1,18100,0.0
1,18131,0.0
1,18131,0.0
1,18131,0.0
1,18131,0.0
2,18153,0.0
2,18153,0.0
2,18153,0.0
2,18153,0.0
6,18181,0.0
6,18265,0.0
1,18277,0.0
1,18277,0.0
Other,18279,0.0
Other,18279,0.0
Other,18296,0.0
Other,18296,0.0
1,18356,0.0
1,18356,0.0
1,18356,0.0
1,18433,Other
1,18433,0.0
1,18433,0.0
1,18433,0.0
1,18508,0.0
1,18508,0.0
1,18508,0.0
1,18508,0.0
1,18508,0.0
1,18508,0.0
Other,18618,0.0
6,18631,0.0
3,18678,0.0
3,18678,0.0
3,18678,0.0
3,18697,Other
3,18697,Other
3,18748,0.0
3,18748,Other
Other,18758,0.0
Other,18758,0.0
6,18802,0.0
3,18881,0.0
3,18881,0.0
2,18891,Other
2,18891,0.0
2,18891,0.0
2,19034,0.0
2,19034,0.0
2,19034,0.0
2,19034,0.0
2,19034,0.0
1,19079,0.0
1,19079,0.0
1,19079,0.0
Other,19173,0.0
Other,19173,0.0
Other,19220,0.0
Other,19230,0.0
1,19236,0.0
1,19236,0.0
1,19286,0.0
1,19286,0.0
1,19370,0.0
1,19370,0.0
1,19370,0.0
1,19370,0.0
1,19427,0.0
1,19427,0.0
1,19427,0.0
1,19427,0.0
1,19444,0.0
1,19444,0.0
2,19503,Other
2,19503,0.0
6,19515,0.0
3,19600,0.0
3,19600,0.0
3,19704,0.0
3,19704,0.0
3,19704,0.0
3,19704,0.0
3,19704,0.0
3,19704,0.0
3,19704,0.0
1,19725,Other
1,19725,Other
1,19725,0.0
1,19725,0.0
1,19725,0.0
1,19725,0.0
1,19725,0.0
2,19757,Other
2,19757,0.0
2,19757,0.0
2,19757,0.0
2,19757,0.0
Other,19783,0.0
3,19831,0.0
3,19831,0.0
3,19831,0.0
6,19980,0.0
1,20008,0.0
1,20008,0.0
1,20008,0.0
1,20008,0.0
1,20044,0.0
1,20044,0.0
1,20073,0.0
1,20073,0.0
Other,20202,0.0
2,20226,0.0
2,20226,0.0
1,20281,0.0
1,20281,0.0
1,20317,0.0
1,20317,0.0
Other,20443,0.0
1,20467,0.0
1,20467,0.0
1,20467,0.0
1,20467,0.0
1,20467,0.0
1,20504,Other
1,20504,0.0
1,20504,Other
Other,20523,0.0
1,20527,0.0
1,20527,0.0
1,20527,0.0
1,20527,0.0
2,20587,0.0
2,20587,0.0
2,20587,0.0
6,20594,0.0
Other,20596,0.0
1,20606,0.0
1,20606,0.0
3,20716,Other
3,20716,0.0
3,20716,0.0
3,20716,0.0
3,20716,0.0
6,20782,Other
1,20828,0.0
1,20828,0.0
1,20828,0.0
1,20828,0.0
1,20828,0.0
1,20828,0.0
1,20844,Other
1,20844,Other
1,20878,0.0
1,20878,0.0
1,20878,0.0
1,20915,Other
1,20915,Other
1,21021,0.0
1,21021,0.0
1,21173,0.0
1,21173,0.0
1,21227,0.0
1,21227,0.0
2,21257,0.0
2,21257,0.0
2,21257,0.0
1,21321,0.0
1,21321,0.0
1,21321,0.0
1,21321,0.0
1,21350,0.0
1,21350,0.0
1,21350,0.0
1,21350,0.0
1,21350,0.0
1,21350,0.0
1,21350,0.0
1,21350,0.0
1,21350,0.0
1,21350,0.0
1,21350,0.0
1,21456,0.0
1,21456,0.0
1,21456,0.0
3,21468,Other
3,21468,Other
1,21476,0.0
1,21476,0.0
1,21562,0.0
1,21562,0.0
1,21562,0.0
1,21562,0.0
1,21562,0.0
Other,21579,Other
3,21595,0.0
3,21595,0.0
3,21595,0.0
3,21595,0.0
3,21595,0.0
1,21627,0.0
1,21627,0.0
1,21627,0.0
1,21627,0.0
1,21632,Other
1,21632,0.0
1,21632,0.0
1,21632,0.0
Other,21711,0.0
3,21712,0.0
3,21712,0.0
3,21712,0.0
6,21727,0.0
3,21773,0.0
3,21773,0.0
Other,21912,0.0
Other,21912,0.0
6,21922,0.0
1,21943,0.0
1,21943,0.0
1,21943,0.0
6,21965,0.0
6,22022,0.0
3,22055,0.0
3,22055,0.0
3,22055,0.0
1,22115,0.0
1,22115,0.0
3,22185,0.0
3,22185,0.0
3,22185,0.0
1,22225,Other
1,22225,0.0
1,22225,0.0
1,22225,0.0
1,22225,0.0
Other,22237,0.0
Other,22237,Other
6,22252,0.0
6,22343,Other
Other,22427,0.0
Other,22556,0.0
3,22578,0.0
3,22578,0.0
3,22578,0.0
2,22654,0.0
2,22654,0.0
6,22763,Other
6,22838,0.0
2,22901,0.0
2,22901,0.0
1,22936,0.0
1,22936,0.0
1,22979,0.0
1,22979,0.0
1,22979,0.0
1,22979,0.0
1,23000,0.0
1,23000,0.0
1,23000,0.0
Other,23034,0.0
6,23062,0.0
Other,23087,0.0
Other,23087,0.0
1,23096,Other
1,23096,0.0
1,23096,0.0
2,23148,0.0
2,23148,0.0
6,23190,Other
2,23199,0.0
2,23199,0.0
1,23218,0.0
1,23218,0.0
1,23218,0.0
1,23242,0.0
1,23242,0.0
1,23488,0.0
1,23488,0.0
1,23520,0.0
1,23520,0.0
1,23520,0.0
6,23532,0.0
6,23543,0.0
1,23551,0.0
1,23551,0.0
1,23551,0.0
1,23551,0.0
1,23551,0.0
1,23575,0.0
1,23575,0.0
1,23575,0.0
1,23575,0.0
1,23633,0.0
1,23633,0.0
1,23633,0.0
2,23720,0.0
2,23720,0.0
2,23720,0.0
2,23720,0.0
2,23720,0.0
2,23720,0.0
1,23726,0.0
1,23726,0.0
1,23726,0.0
3,23788,0.0
3,23788,0.0
1,23835,0.0
1,23835,0.0
1,23835,0.0
1,23835,0.0
Other,23854,0.0
1,23860,0.0
1,23860,0.0
1,23860,0.0
6,23958,0.0
1,23968,0.0
1,23968,0.0
1,23968,0.0
6,23992,0.0
3,23998,0.0
3,23998,0.0
1,24000,0.0
1,24000,0.0
1,24000,0.0
Other,24034,Other
1,24055,0.0
1,24055,0.0
1,24055,0.0
1,24055,0.0
1,24055,0.0
1,24055,0.0
6,24071,0.0
2,24126,0.0
2,24126,0.0
1,24165,Other
1,24165,0.0
1,24165,0.0
6,24229,0.0
2,24256,0.0
2,24256,0.0
1,24304,0.0
1,24304,0.0
1,24349,0.0
1,24349,0.0
6,24358,0.0
Other,24399,0.0
Other,24399,0.0
1,24404,0.0
1,24404,0.0
1,24404,0.0
1,24404,0.0
1,24404,0.0
3,24414,0.0
3,24414,0.0
3,24414,0.0
2,24453,0.0
2,24453,0.0
6,24458,Other
1,24548,0.0
1,24548,0.0
1,24548,0.0
1,24684,0.0
1,24684,0.0
1,24684,0.0
1,24720,0.0
1,24720,0.0
Other,24738,0.0
6,24886,Other
Other,24951,Other
1,24953,Other
1,24953,0.0
Other,25000,0.0
Other,25000,0.0
Other,25000,0.0
Other,25101,0.0
Other,25152,0.0
Other,25152,0.0
3,25208,0.0
3,25208,0.0
3,25208,0.0
1,25286,0.0
1,25286,0.0
3,25289,0.0
3,25289,0.0
6,25314,0.0
3,25445,0.0
3,25445,0.0
Other,25563,Other
3,25591,0.0
3,25591,0.0
3,25591,0.0
Other,25635,Other
Other,25635,0.0
6,25701,0.0
1,25755,0.0
1,25755,0.0
1,25755,0.0
Other,25906,0.0
Other,25906,0.0
1,25942,0.0
1,25942,0.0
1,25942,0.0
2,25950,0.0
2,25950,0.0
2,25950,0.0
2,25950,0.0
3,25972,0.0
3,25972,0.0
1,26021,0.0
1,26021,0.0
1,26021,0.0
1,26021,0.0
1,26021,0.0
6,26046,0.0
3,26106,0.0
3,26106,0.0
3,26106,0.0
1,26151,0.0
1,26151,0.0
3,26183,0.0
3,26183,0.0
3,26183,0.0
3,26183,0.0
3,26183,0.0
1,26228,0.0
1,26228,0.0
1,26228,0.0
1,26228,0.0
3,26314,0.0
3,26314,0.0
3,26314,0.0
1,26347,0.0
1,26347,0.0
1,26347,0.0
