School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1
HS FOR HEALTH PROF & HUMAN SERV-M,M,2,AUDITORIUM UPGRADE / ROOFS / PATH OF TRAVEL AUDITORIUM UPGRADE / PARAPETS / EXTERIOR MASONRY / WINDOWS,27711000.0,CIP,M475,345 EAST 15 STREET,Manhattan,10065,MANHATTAN,40.765359,-73.960059,108,5,1083343.0,1014420001.0,118,MN0801,"(40.765359, -73.960059)"
QUEENS ACADEMY HIGH SCHOOL - Q,Q,25,FY21 RESO A GYMNASIUM UPGRADE,40000.0,CIP,Q023,138-11 35 AVENUE,Queens,11356,QUEENS,40.778601,-73.843187,407,19,4099925.0,4042290014.0,907,QN0701,"(40.778601, -73.843187)"
P.S. 220 - QUEENS,Q,28,EXTERIOR MASONRY,983000.0,CIP,Q220,62-10 108 STREET,Queens,11434,QUEENS,40.674541,-73.789417,412,28,4261713.0,4120510001.0,18401,QN1203,"(40.674541, -73.789417)"
P.S. 107 - BRONX,X,8,EXTERIOR MASONRY / PARAPETS / ROOFS / FLOOD ELIMINATION,5990000.0,CIP,X107,1695 SEWARD AVENUE,Bronx,10456,BRONX,40.835286,-73.900751,203,15,2009718.0,2029320001.0,149,BX0301,"(40.835286, -73.900751)"
EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE  -K,K,19,ELECTRICAL WORK FOR A/C INITIATIVE,4510.0,CIP,K072,605 SHEPHERD AVENUE,Brooklyn,11234,BROOKLYN,40.621224,-73.91287,318,46,3236496.0,3083880002.0,69602,BK1802,"(40.621224, -73.91287)"
P.S. 134 - QUEENS,Q,29,WATER PENETRATION / EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY / PARAPETS,24888000.0,CIP,Q134,203-02 109TH AVENUE,Queens,11412,QUEENS,40.698279,-73.752654,412,27,4236757.0,4110180021.0,520,QN1205,"(40.698279, -73.752654)"
P.S. 183 - QUEENS,Q,27,FY19 RESO A PLAYGROUND / PATH OF TRAVEL RESO A PLAYGROUND,979000.0,CIP,Q183,2-45 BEACH 79 STREET,Queens,11375,QUEENS,40.722707,-73.851699,406,29,4075214.0,4031720002.0,71305,QN0602,"(40.722707, -73.851699)"
P.S. 199 - BROOKLYN,K,21,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,13572000.0,CIP,K199,1100 ELM AVENUE,Brooklyn,11208,BROOKLYN,40.666417,-73.876563,305,42,3098664.0,3044770001.0,1116,BK0503,"(40.666417, -73.876563)"
P.S. 284 - BROOKLYN,K,23,SWIMMING POOL / FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE / FY20 RESO A PLAYGROUND UPGRADE / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS / EXTERIOR DOORS / FLOOD ELIMINATION / PATH OF TRAVEL SWIMMING POOL,27211000.0,CIP,K284,213 OSBORN STREET,Brooklyn,11221,BROOKLYN,40.695362,-73.915142,304,37,3076460.0,3033430001.0,433,BK0402,"(40.695362, -73.915142)"
P.S. 306 - BRONX,X,10,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,715000.0,CIP,X306,40 WEST TREMONT AVENUE,Bronx,10456,BRONX,40.827642,-73.904473,203,17,2004526.0,2026340001.0,135,BX0301,"(40.827642, -73.904473)"
P.S. 83 - BRONX,X,11,ROOFS / MECHANICAL EQUIPMENT REPLACEMENT / EXTERIOR MASONRY / PARAPETS / ROOFS,21441000.0,CIP,X083,950 RHINELANDER AVENUE,Bronx,10453,BRONX,40.857689,-73.908349,205,14,2094683.0,2032070040.0,251,BX0501,"(40.857689, -73.908349)"
P.S. 329 - BROOKLYN,K,21,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,378850.0,CIP,K329,2929 WEST 30 STREET,Brooklyn,11212,BROOKLYN,40.672462,-73.906552,316,37,3083608.0,3036930001.0,908,BK1602,"(40.672462, -73.906552)"
P.S. 333 - QUEENS,Q,27,ROOFS / EXTERIOR MASONRY / PARAPETS,8331000.0,CIP,Q198,3-65 BEACH 56 STREET,Queens,11367,QUEENS,40.736653,-73.813346,408,24,4146992.0,4067920100.0,122702,QN0802,"(40.736653, -73.813346)"
HERBERT H. LEHMAN HS - X,X,8,AUDITORIUM UP0GRADE,1050000.0,CIP,X405,3000 EAST TREMONT AVENUE,Bronx,10467,BRONX,40.875953,-73.86197,212,12,2057045.0,2046330040.0,372,BX1201,"(40.875953, -73.86197)"
EDUCATIONAL CAMPUS @ 500 19 STREET - BROOKLYN,K,15,Lease,15400000.0,CAP,K280,500 19 STREET,Brooklyn,11215,BROOKLYN,40.656944,-73.983115,307,39,3017307.0,3008890001.0,1502,BK0701,"(40.656944, -73.983115)"
P.S. 6 - STATEN ISLAND,R,31,EXTERIOR MASONRY,2455056.0,CIP,R006,555 PAGE AVENUE,Staten Island,10310,STATEN IS,40.631211,-74.127065,501,49,5006175.0,5002270024.0,141,SI0106,"(40.631211, -74.127065)"
P.S. 333 - MANHATTAN,M,3,WALK-IN REFRIGERATORS AND FREEZERS,543700.0,CIP,M118,154 WEST 93 STREET,Manhattan,10027,MANHATTAN,40.810431,-73.955809,109,7,1059526.0,1019640012.0,20901,MN0901,"(40.810431, -73.955809)"
P.S. 81 - BROOKLYN,K,16,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION,4993919.0,CIP,K081,990 DEKALB AVENUE,Brooklyn,11224,BROOKLYN,40.578255,-73.979628,313,47,3196558.0,3072660040.0,350,BK1302,"(40.578255, -73.979628)"
I.S. 234 - BROOKLYN,K,22,PARAPETS / WINDOWS / EXTERIOR MASONRY,9978000.0,CIP,K234,1875 EAST 17 STREET,Brooklyn,11224,BROOKLYN,40.578188,-73.99203,313,47,3188221.0,3069650140.0,330,BK1302,"(40.578188, -73.99203)"
P.S. 219 - BROOKLYN,K,18,BOILER REPLACEMENT,3256000.0,CIP,K860,9517 KINGS HIGHWAY,Brooklyn,11226,BROOKLYN,40.648585,-73.957282,314,40,3338996.0,3051030093.0,794,BK1701,"(40.648585, -73.957282)"
P.S. 20 - STATEN ISLAND,R,31,ROOFS / EXTERIOR MASONRY / PARAPETS,3843919.0,CIP,R020,161 PARK AVENUE,Staten Island,10308,STATEN IS,40.546081,-74.14584,503,51,5065854.0,5051530108.0,13203,SI0302,"(40.546081, -74.14584)"
P.S. 98 - MANHATTAN,M,6,OTHER TEMP STRUCTURE REMOVAL/PLAYGROUND REDEVELOPMENT: / PATH OF TRAVEL-OTHER TEMP STRUCTURE REMOVAL,2547000.0,CIP,M098,512 WEST 212 STREET,Manhattan,10029,MANHATTAN,40.795146,-73.948368,111,8,1051584.0,1016140021.0,17401,MN1101,"(40.795146, -73.948368)"
I.S. 109 - QUEENS,Q,29,ELECTRICAL WORK FOR A/C INITIATIVE / ELECTRICAL WORK FOR A/C INITIATIVE / ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,587000.0,CIP,Q109,213-10 92 AVENUE,Queens,11385,QUEENS,40.705516,-73.862208,405,32,4094055.0,4038460040.0,637,QN0503,"(40.705516, -73.862208)"
JAMES BALDWIN SCHOOL - MANHATTAN,M,2,DEFECTIVE POOL FOUNDATION WALLS,17668000.0,CIP,M440,351 WEST 18 STREET,Manhattan,10040,MANHATTAN,40.855855,-73.92712,112,10,1076751.0,1021600018.0,277,MN1202,"(40.855855, -73.92712)"
