AREA,DISTRICT,SAFETY
area_1,Other,53.96
area_5,Other,70.9
area_3,Other,69.03
area_5,25.0,53.9
area_2,Other,48.71
area_5,Other,50.07
area_3,Other,74.88
area_1,Other,55.14
area_2,Other,63.38
area_3,Other,61.89
area_3,Other,76.61
Other,,52.19
area_5,25.0,69.55
area_1,Other,59.92
area_3,,64.14
area_3,Other,73.61
area_5,Other,63.77
area_2,Other,51.95
,,57.79
area_5,Other,62.05
area_2,Other,62.84
area_5,Other,61.31
,,57.38
area_4,Other,46.37
area_2,Other,65.83
area_5,Other,64.87
area_2,Other,50.13
area_3,Other,69.82
area_1,Other,61.08
area_1,Other,41.87
,,64.39
area_4,Other,42.52
area_1,Other,52.42
area_3,Other,73.03
area_3,Other,66.69
area_1,Other,43.99
area_5,25.0,64.57
area_5,Other,62.52
area_1,Other,52.93
area_5,Other,57.3
area_5,Other,62.58
area_1,Other,56.04
area_3,Other,68.99
area_5,25.0,54.18
area_1,,58.27
area_1,Other,46.52
Other,,66.7
area_3,Other,47.58
area_1,Other,70.59
area_2,Other,50.84
area_2,Other,48.06
area_1,Other,63.58
area_1,Other,45.41
area_2,Other,45.01
area_5,Other,64.33
area_1,Other,51.87
area_4,Other,51.1
area_2,Other,48.79
area_1,Other,50.3
area_1,Other,58.27
area_4,Other,45.42
area_2,Other,58.18
area_1,Other,56.4
area_1,Other,56.11
area_3,Other,58.31
area_3,Other,61.33
area_1,Other,54.02
area_4,Other,54.83
area_4,Other,53.02
area_3,Other,72.2
area_1,Other,64.18
area_1,,57.94
area_3,Other,66.64
area_2,Other,55.7
area_5,Other,67.38
area_5,Other,72.91
area_3,Other,58.47
area_3,Other,66.7
area_5,Other,61.23
area_1,Other,52.15
area_1,Other,62.57
area_5,Other,57.15
area_3,Other,68.18
area_2,Other,51.09
area_3,Other,70.63
area_1,Other,53.68
area_1,Other,50.19
area_5,Other,69.08
area_2,Other,70.91
area_5,25.0,54.56
area_1,Other,53.71
area_1,Other,60.73
area_1,Other,53.23
area_2,Other,67.05
area_1,Other,48.87
area_3,Other,62.39
area_5,Other,64.95
area_4,Other,52.77
area_2,Other,52.79
area_1,Other,62.57
area_4,Other,60.89
area_4,Other,54.85
area_1,Other,64.66
area_4,Other,42.25
area_1,Other,53.76
area_5,Other,70.19
area_5,Other,66.63
area_4,Other,55.88
area_1,Other,53.53
area_1,Other,55.67
area_4,Other,50.59
area_3,Other,60.37
area_1,Other,54.4
area_5,Other,69.05
area_1,Other,49.86
area_5,Other,66.82
Other,,48.45
area_3,Other,68.79
area_3,Other,70.34
area_5,25.0,65.8
area_3,Other,57.04
area_3,Other,70.83
area_4,,54.45
area_4,Other,51.62
area_2,Other,58.1
area_4,Other,50.77
area_5,Other,61.53
area_2,Other,62.4
area_3,Other,68.48
area_5,Other,73.53
area_2,Other,67.15
area_4,Other,48.9
area_2,Other,58.61
area_4,Other,48.61
area_4,Other,49.56
area_2,Other,51.42
area_4,Other,50.37
area_1,Other,44.76
area_3,,58.9
area_5,Other,61.47
area_3,Other,63.66
Other,,56.22
area_1,Other,60.69
area_3,Other,44.03
area_1,Other,49.5
area_5,Other,70.42
area_2,Other,62.84
area_5,Other,54.83
area_4,Other,53.14
,,58.51
area_2,Other,55.92
area_1,Other,57.57
area_4,Other,43.02
area_3,Other,62.3
area_3,,58.34
area_2,Other,55.7
area_4,Other,55.91
area_5,Other,69.49
area_4,Other,49.71
area_2,Other,58.23
area_1,Other,57.6
area_2,Other,48.88
area_5,Other,67.59
area_1,Other,46.89
area_3,Other,67.3
area_1,Other,54.73
Other,,65.49
area_4,Other,56.02
area_5,25.0,62.7
area_3,Other,62.89
area_5,25.0,52.76
area_2,Other,56.34
area_3,Other,62.54
area_5,Other,62.88
area_5,Other,61.05
area_1,Other,62.56
,,61.46
area_3,Other,58.46
area_5,Other,71.97
area_2,Other,47.5
area_4,Other,66.34
area_5,25.0,64.72
area_1,Other,57.88
area_3,Other,62.72
area_3,Other,46.33
area_1,Other,45.25
area_3,Other,59.48
area_1,Other,54.42
area_5,,60.73
area_3,Other,65.12
area_3,Other,48.93
area_1,Other,49.1
area_2,Other,51.69
area_1,Other,61.1
area_1,Other,56.75
area_3,Other,68.41
area_2,Other,57.27
area_3,Other,71.03
area_2,Other,61.82
area_3,Other,44.67
area_5,25.0,64.36
area_5,Other,65.15
area_2,Other,57.48
area_5,25.0,51.92
area_1,Other,52.19
area_1,Other,55.38
area_1,Other,49.84
area_5,Other,64.16
area_2,Other,62.14
area_5,25.0,63.86
area_5,25.0,62.39
area_1,Other,53.38
area_2,Other,44.8
Other,,57.14
area_4,Other,51.07
area_3,Other,71.96
area_5,Other,66.86
area_3,Other,61.55
area_3,Other,60.39
area_1,Other,57.95
area_2,Other,46.9
area_3,Other,65.26
area_1,Other,43.44
Other,,63.41
area_2,Other,48.49
area_4,Other,51.84
area_3,Other,60.86
area_1,Other,53.98
area_3,Other,64.98
Other,,58.38
area_5,25.0,61.77
area_1,Other,56.98
area_1,Other,46.73
area_2,Other,54.18
area_2,Other,59.19
area_3,Other,63.07
area_5,25.0,47.35
area_2,Other,47.83
area_1,Other,59.28
area_3,Other,58.41
area_2,Other,52.58
area_2,Other,50.75
area_3,Other,55.82
area_1,Other,48.21
,,59.74
,,59.74
area_4,Other,47.54
area_2,Other,45.66
area_3,Other,68.37
area_4,Other,43.99
area_1,Other,45.6
area_5,Other,56.07
area_5,,61.34
area_3,Other,61.29
area_1,Other,47.41
area_5,Other,61.2
area_4,Other,59.02
area_5,Other,62.96
area_1,Other,49.61
area_4,Other,56.95
area_1,Other,54.44
area_5,25.0,54.82
area_4,Other,45.83
area_5,Other,71.52
area_3,Other,66.36
area_1,Other,54.84
area_5,25.0,67.15
area_1,Other,57.32
area_3,Other,51.45
area_2,Other,51.6
area_3,Other,64.74
area_2,Other,65.56
area_4,Other,52.92
area_4,Other,60.5
area_1,,55.1
area_2,Other,56.04
area_5,Other,62.75
area_4,,51.93
area_4,Other,52.49
area_3,Other,60.79
area_5,Other,71.36
area_4,,54.5
area_1,Other,51.86
area_3,Other,68.51
area_2,Other,50.62
area_4,Other,59.11
area_1,Other,56.72
area_5,Other,63.1
area_5,,58.22
area_5,Other,66.23
area_3,Other,63.32
,,58.45
,,58.45
area_5,Other,65.59
area_2,Other,62.74
area_2,Other,54.96
area_1,Other,55.08
area_4,Other,56.67
area_3,Other,64.43
area_2,Other,50.01
area_5,Other,57.19
area_1,Other,48.8
area_4,Other,59.44
area_3,Other,61.35
area_3,Other,65.96
area_1,Other,60.21
area_2,,48.99
area_5,Other,70.28
area_2,Other,58.3
area_2,Other,55.81
area_3,Other,66.41
area_3,Other,59.26
area_2,Other,49.42
area_2,Other,49.06
area_3,Other,62.47
area_1,Other,49.26
area_3,Other,64.13
area_1,Other,52.73
area_5,Other,61.78
area_1,Other,60.57
area_4,,46.0
area_2,Other,52.24
area_1,,52.03
Other,,56.86
area_1,Other,51.25
area_4,Other,50.91
area_5,Other,70.77
area_2,Other,56.8
area_4,Other,43.45
area_1,Other,50.83
area_1,Other,48.86
area_2,Other,60.46
area_4,Other,60.86
area_5,Other,68.26
area_3,Other,62.55
area_3,Other,59.8
area_4,Other,47.26
area_4,Other,57.47
area_3,Other,70.0
,,57.26
area_4,Other,61.64
area_1,Other,49.83
area_4,,61.94
area_1,Other,58.22
area_2,Other,54.47
area_2,Other,55.92
area_1,Other,61.19
area_2,Other,55.01
area_4,Other,46.61
area_3,Other,69.6
area_4,Other,48.52
area_4,,44.95
area_3,Other,59.14
area_5,Other,69.4
area_1,Other,59.45
area_3,Other,56.55
area_3,Other,61.95
area_1,Other,41.12
area_5,Other,63.24
area_1,Other,61.43
area_1,Other,50.69
area_2,Other,73.9
area_1,Other,55.81
area_3,Other,70.44
area_4,Other,50.95
area_4,Other,58.09
area_5,Other,62.37
,,62.71
,,62.71
area_1,Other,55.84
area_4,Other,44.45
area_5,Other,62.45
area_3,Other,54.91
area_2,Other,57.45
area_2,,56.62
area_2,Other,54.5
area_3,,66.59
area_5,Other,63.31
area_3,Other,48.73
area_3,Other,61.49
area_2,Other,51.84
area_2,Other,50.88
area_3,Other,64.28
area_5,Other,63.54
area_2,Other,55.76
area_5,25.0,61.05
area_1,Other,53.19
area_4,Other,43.66
area_3,Other,60.99
area_5,25.0,58.17
area_1,Other,54.84
area_5,Other,69.44
area_2,Other,63.22
area_5,25.0,56.55
area_5,Other,70.0
area_3,Other,70.81
area_5,,58.68
area_3,Other,66.3
area_2,Other,51.65
area_3,Other,61.48
area_3,Other,68.79
area_5,Other,62.99
area_1,Other,50.17
area_5,Other,64.91
area_1,Other,50.04
area_5,Other,71.08
area_2,Other,52.81
area_3,Other,56.36
area_1,Other,45.65
area_2,Other,58.89
area_2,Other,55.85
area_1,Other,49.58
area_3,Other,70.12
area_3,Other,71.55
area_3,Other,71.41
area_2,Other,46.94
area_1,Other,51.48
area_3,Other,63.82
area_1,Other,60.8
area_3,Other,73.17
area_2,Other,59.16
area_1,Other,50.86
area_5,25.0,56.72
area_2,Other,43.39
area_4,Other,49.92
